coment,manifest_atendimento
Nunca abri esse incidente,neutro
"Profissionais educados, atenciosos e o mais importante, o problema foi resolvido, aos profissionais envolvidos, meus parabéns e obrigado.",elogio
"Não tenho condições de responder a esta pesquisa. Onde está o parecer prometido pela área técnica, explicando que a solução dada até o momento foi apenas provisória? Com os elementos aqui apresentados, a avaliação só pode ser negativa.   Reynaldo Taylor",reclamação
"Chamado não foi resolvido. Apesar de explicado que a necessidade de privilégios de administrador para o notebook se deve ao fato de trabalharmos em uma gerência técnica que presta suporte à área de automação, o atendente não concedeu os privilégios.",reclamação
"O chamado foi encerrado como concluído. Porém, o ramal continua constando na conta telefônica da CE.",reclamação
Houve uma demora para a solução do problema. ,reclamação
Demora relativamente alta para resolução em um sistema vital.,reclamação
Foi informado que o skype não poderia ser instalado no desktop. ,neutro
Aguardando parecer do gerente da minha unidade.,neutro
"Em princípio foi resolvido. Só terei certeza no mês que vem, se vier correto.",neutro
Excelente o atendimento do técnico Ricardo Nogueira Erbe.,elogio
Concluíram o chamado sem verificar se o problema foi resolvido. Acabei de checar e permanece sem solução.,reclamação
O microcomputador de mesa corporatativo nº MI00206088 não foi retirado da chave MO18 e consta no DSP de março/15 da gerência UO-ES/PRDC/PRDC-TER.,reclamação
"Copio aqui o email da Beatriz  dando continuidade ao incidente, pois não foi identificado o problema e nem mesmo resolvido:  Re: Enc: Problema ocorrido durante o último curso SINPRO  Ana Beatriz Castellar Ferro de Carvalho - PrestServ  RH/UP/CRJ  02/06/2015 17:35  Para: Flavio Agostinho Silva  Cc:  Anna Amelia Paula Gomes de Oliveira Ambrosio, Jose  Rozendo da Silva Neto, Ovidio Antonio Bastos Goulart, Alex  Moreira da Silva - PrestServ, Lucia Helena Massena de  Esta mensagem está assinada digitalmente.  Prezados,  Em contato com o Alex Moreira (supervisor da equipe de TIC local) ficou esclarecido que a rede do  EDICIN realmente têm apresentado problemas técnicos, com isso ficando mais lenta.  Uma das soluções apresentadas pela equipe da TIC, seria fazer instalações locais para acessar o  CITRIX fora da rede, esse procedimento poderia ser feito em horário alternativo, após o término do  primeiro dia do curso, caso fosse solicitado ao apoio do evento (Beatriz - A2D7).  A fim de alinharmos uma parceria para que não haja esse tipo de problema nos próximos cursos,  venho convidar a equipe do SINPRO para no próximo dia 05/06/15 realizar uns testes juntamente  com a equipe da TIC do EDICIN, que será representada por um técnico designado pelo supervisor  Alex (X955) que nos lê em cópia.  Aguardo retorno,  Beatriz Castellar  Rota: 801-3597  Tel: (21) 3487-3597  Flavio Agostinho Silva Ana, Bom dia! Gentileza encaminhar este e... 02/06/2015 11:50:43  De: Flavio Agostinho Silva/BRA/Petrobras  Para: Ana Beatriz Castellar Ferro de Carvalho - PrestServ/BRA/Petrobras@PETROBRAS,  Data: 02/06/2015 11:50  Assunto: Enc: Problema ocorrido durante p último curso SINPRO  Ana,  Bom dia! Gentileza encaminhar este email para os responsáveis TIC na UP que dão suporte ao  supracitado curso para a tomada de providências junto à demandante.  Favor me copiar em todos os emails para que eu possa acompanhar o processo até resolvermos o  problema.  Grato,  Flávio Agostinho Silva  Engenheiro de Processamento Pleno  Universidade Petrobras - RH/UP/ECTEP/PCPROD  Av. Tancredo Neves, 1367 - Edifício Civil Trade - 9° andar (Sala 912)  CEP: 41820-021 - Salvador, BA - BRASIL  Rota/Ramal: 822-5337 - Externo: (71) 3797-5337  e-mail: flavio.agostinho@petrobras.com.br  ----- Repassado por Flavio Agostinho Silva/BRA/Petrobras em 02/06/2015 11:47 -----  De: Anna Amelia Paula Gomes de Oliveira Ambrosio/BRA/Petrobras  Para: Flavio Agostinho Silva/BRA/Petrobras@Petrobras,  Cc: Jose Rozendo da Silva Neto/BRA/Petrobras@Petrobras, Ovidio Antonio Bastos  Goulart/BRA/Petrobras@Petrobras  Data: 01/06/2015 13:37  Assunto: Problema ocorrido durante p último curso SINPRO  Flávio,  Tivemos em alguns dias do curso um problema em relação ao acesso dos PC's da Universidade  Petrobras para o CITRIX, o que impactava o acesso aos programas do SINPRO.  Como não conseguimos diagnosticar o que estava acontecendo, pois apenas na UP isso acontecia,  eu não fiz alarde em relação a isso.  Paralelamente fizemos testes aqui no CENPES e tb na UO-RIO e a lentidão de resposta não  acontecia.  A outra alternativa que tínhamos era fazer um setup de instalação local, mas isso geraria impacto tão  grande no andamento do curso, uma vez que teríamos que parar até que todos os programas  estivessem instalados nas máquinas dos participantes, que eu decidi tocar o curso conforme o  CITRIX permitia (passando para parte de discussão quando o sistema caía e voltando aos exercícios  quando a rede se estabelecia ) e guardar esse problema para resolver ao fim do curso, o que faço  agora.  Gostaria de ter seu apoio para encontrarmos as pessoas responsáveis pela Infra TIC na UP, para que  possamos fazer testes e se for o caso pedir o upgrade do Client CITRIX dos PC's destinados ao  curso.  Copio o José Rozendo da UP/RIO e o Ovídio, que é TIC e trabalha na equipe SINPRO neste email.  Aguardo seu retorno,  Anna Amélia Paula Gomes de Oliveira Ambrósio, M. Sc.  Engª de Processamento Pl.  CENPES/EB-E&P/EPEP  CENPES EXPANSÃO - Jardim Escritório 3 - 3º andar  Tel:(21) 3865-5070 ¿ Rota 712  anna.amelia@petrobras.com.br (upu3)",reclamação
Total 110%,elogio
"A nota 5 que dei foi para o técnico que fez o atendimento. Ela foi perfeita, atenciosa e resolveu o problema, mas o serviço havia sido solicitado no dia anterior, cheguei a ligar para o 881 mais duas vezes pois estava com o micro parado e não havia outro disponível para uso. Normalmente o atendimento é rápido, não entendi o que aconteceu.",elogio
Demora no retorno da resposta.,reclamação
excelente atendimento,elogio
O colaborador Ademir superou o atendimento das expectativas do cliente. O mesmo  foi eficiente e eficaz no atendimento a demanda do cliente.,elogio
Atendimento rápido e eficiente,elogio
"Fineza concluir chamado, pois o técnico utilizou a tomada da impressora para instalar o micro o que está impedindo as atividades do setor.",reclamação
"O atendimento foi muito excelente, porém o atendendente não tinha permissão para tal resolução. parabenizo a efici~encia no atendimento.",neutro
"A primeira orientação do técnico foi que eu deveria criar uma nova variante, ele citou que o próprio teve que recriar várias variantes que ele utilizava nas suas atividades. Porém eu insisti que a mensagem era standard e que ela recomendava a execução do report RSVARDOC_610 e que eu só aceitaria o encerramento do chamado com as telas de evidenciação que o report foi executado e o erro não tivesse sido corrigido. Com a execução do report o erro foi corrigido.",reclamação
Serviço lento e burocrático.,reclamação
"Tive um bom atendimento no chamado, porém a orientação não funcionou.",neutro
Foi resolvido depois de efetuar despacho de mais informações. ,neutro
Foi resolvido depois de efetuar despacho de mais informações. ,neutro
Era para trocar o ramal 706-6524 pelo ramal 704-2797. Não era para inserir mais um ramal.,reclamação
"Feliciano realizou sua atividade organizadamente e nos atendeu muito bem, ficamos atisfeitos com sua atuação.",elogio
Solicitação aprovada dia 01/06 e atendida dia 05/06. Achei mto tempo para solução de problema simples.,reclamação
obrigado pelo elocidade de atendimento.,elogio
ESTIVE INSATISFEITO DEVIDO A DEMORA NO ATENDIMENTO,reclamação
Obrigado,elogio
O problema persiste ao gerar o relatório de acompanhamento de projetos,reclamação
Atendimento cordial e preciso.,elogio
A nota baixa se refere a equipe de designação que demou quase 1 semana para encaminhar o chamado para a equipe técnica que solucionou rapidamente o atendimento.,reclamação
"Gostaria de destacar o empenho do técnico em deixar o computador operando, apesar de todas as dificuldades que estas máquinas da Semp Toshiba têm nos imposto. Eu e meus colegas percebemos neste técnico um grande comprometimente e preocupação com os usuários. Se possível gostaria que fosse registrado um elogio a este técnico pela sua postura diferenciada.",elogio
Parabéns a equipe pelo pronto atendimento !,elogio
"Atendimento dez de seu José, está de parabéns",elogio
AGRADEÇO PELO PRONTO ATENDIMENTO.,elogio
Houve necessidade de aprovação prévia do administrador do software.,neutro
Ótimo atendimento.,elogio
Aguardando a conclusão da devolução.,reclamação
Serviço de de extrema eficiência prestado por este recurso da TIC. A equipe está de parabéns.,elogio
"Prezados,Foi satisfatorio o atendimento, pois não fiquei aguardando muito a troca do produto pois não estava dando rendimento ao trabalho.",neutro
PROBLEMA RECORRENTE HÁ PELO MENOS 2 SEMANAS SEM SOLUÇÃO.,neutro
"O 881 não atendeu em tempo hábil, tive que procurar o atendimento através do sametime.",neutro
Rápido e eficiente!,elogio
O CHAMADO NÃO FOI RESOLVIDO... PASSARAM MEU CHAMADO PARA EQUIPE DA HP...MAS DEVERIA SER ATENDIDO PELA EQUIPE DE TELEFONIA. INSATISFEITA.,reclamação
Foram solicitados os cancelamentos a chave S¨TIC,reclamação
"Bom atendimento, e melhor resolvido em um só chamado.",elogio
Não foi resolvido pelo primeiro atendente e sim pelo último.,reclamação
Solicitação resolvida rapidamente com eficácia.,elogio
"O problema não era no ramal. O problema era no headset. O chamado não foi resolvido pois o aparelho está quebrado. Porém, estou satisfeita, pois foi desconectado do aparelho telefônico. Não tenho o que reclamar do atendimento, nem do serviço prestado.",neutro
Erro está em análise para ser resolvido,neutro
Recebi a ligação do técnico às 9 da manhã me informando que poderia instalar o aplicativo que solicitei. Perdi 45 minutos de trabalho aguardando o técnico na instalação. Após esse tempo todo o técnico me informou que não poderia efetuar a instalação porque não havia procedimento e não tinha conhecimento do Aplicativo. Pediu desculpas e ficou por isso mesmo. Ou seja. Perdi 45 minutos pra nada. Geralmente o técnico precisa consultar o procedimento antes de iniciar a instalação. Correto? Que equivoco !!! Ainda me pediu para que eu olhasse na internet o aplicativo que desejava instalar. Quem é o suporte para assuntos de informática?  ,reclamação
"excelente atendimento. Nota 1000, principalmente do Gabriel Brito que literalkmentesalvou o meu computador",elogio
Excelente atendimento. ,elogio
Foi criado SIC20150108 para a implementação da resolução,neutro
O trabalho foi realizado com eficiência pelo técnico.,elogio
OTIMO,elogio
Agradeço a atenção e empenho da equipe na solução do problema.,elogio
Rapidez e agilidade,elogio
A solução apresentada não foi suficiente.,reclamação
"Já foram vários registros tentando resolver o mesmo sintoma na video, esperamos que desta vez tenha sido resolvido.",elogio
excelente trabalho do tecnico PABLO,elogio
Parabéns serviço prestado! ,elogio
Muito objetivo e atencioso o atendente.,elogio
A persistência e paciência da atendente foi fundamental para que o objetivo fossa alcançado,elogio
Raras pessoas têm a persistência requerida para casos mais difíceis.  É o caso do Bruno,elogio
O TIC conseguiu instalar apenas um dos softwares solicitados,neutro
Rápido atendimento. Isso é muito bom.,elogio
"Apesar de toda demora e ausência de contato para entendimento do problema, visto que o mesmo foi resolvido em outro registro que não este, gostaria de reforçar que o descaso no contato e o minimo de boa vontade em resolver o problema ficaram nitidos no tempo para solução.",reclamação
"O atendente informou que deveria encaminhar esse pedido para a chave SCM8, no entanto esse colaborador não tem gestão sobre o sistema Ronda da Transpetro, o que denota certo desconhecimento, gentileza orientá-lo que apenas os sistemas integrados com o SISPAT e implantados na estrutura da TIC-SPS, estão sob gestão do colaborador SCM8.",reclamação
Muito obrigado pelo apoio e ajudas do Charles.,elogio
"O atendente responsável pelo primeiro atendimento não demonstrou interesse na solução do problema, informando equivocadamente que deveria ser feito contato com a Contabilidade para reabertura do período contábil.",reclamação
Fui prontamente atendido.,elogio
Muito bom o tempo de solução.,elogio
Rapidez e eficiência.,elogio
Meu ramal continua não aparecendo no localizador de pessoas.,reclamação
"COMO SEMPRE,OTIMO ATENDIMENTO",elogio
Perdão nao me lembro deste pedido.,reclamação
Excelente,elogio
aguardando providências do compartilhado para solucionar o problema,elogio
"Apesar da movimentação de Fernando, como Gerente, não poder ser atendida sem o DIP da OG, o DIP cita ainda 2 gerentes setoriais, cuja responsabilidade de movimentação é da unidade REVAP. Esses dois setoriais continuam sem a atualização devida.",reclamação
ATENDIMENTO EXCELENTE!,elogio
No momento do atendimento a internet estava lenta e não foi possível baixar os drives da impressora.,neutro
Analista muito prestativo e atencioso.,elogio
Houve preocupação em resolver o problema por parte das pessoas envolvidas. ,neutro
EXCELENTE ATENDIMENTO.,elogio
Parabéns pelo atendimento!,elogio
Parabéns pelo atendimento!,elogio
O técnico atendeu com empenho! Parabéns!,elogio
Atendimento atencioso e prestativo,elogio
Bem atendido,elogio
"Situação de acesso a internet intermitente, pois, alguns minutos depois, ficamos sem acesso novamente a internet. Solução insatisfatória dada a instabilidade apresentada !",neutro
Bem eficiente,elogio
muito obrigado pela ajuda !!!!Sds,elogio
O atendende foi muito prestativo e atencioso. Orientou todos os passos para a solução do chamado.,elogio
Não houve resposta à minha pergunta e o registro não foi redirecionado à equipe competente.,reclamação
Atendente muito prestativa e eficiente.,elogio
"O atendimento a solicitação foi muito rápido, do momento da ligação a efetiva substituição do cartucho de tinta. Muito bom mesmo.",elogio
muito obrigado,elogio
"Liguei com acesso ao micro, porém com falha no acesso ao Notes, e minha senha foi totalmente bloqueada. Gerando um transtorno, pois o responsável pela reativação da senha estava ausente.",reclamação
"O serviço foi executado no dia posterior ao chamado, ficam aqui expresso o agradecimento da equipe da EMTBM",elogio
foi resolvido em tempo habil.,elogio
"Atendimento objetivo, cordial e eficaz. Parabéns!",elogio
Perfeita!!,elogio
devo falar com ger para solicitar desbloqueio,neutro
O trabalho foi executado com sucesso.,elogio
Suporte Tecnico totalmente eficaz,elogio
"Há 28 anos que não me sinto tão satisfeita com os serviços de informática como hoje. Parabéns para a colega, cujo nome esqueci. ",elogio
extremamente eficiente,elogio
Parcialmente resolvido. Ainda estou com home area duplicada.,neutro
Ainda em Avaliação,neutro
Rápido e eficiente,elogio
"Excelente atendimento, rápido e eficiente.",elogio
"Atendente Bruno muito atencioso, resolveu a questão com bastante rapidez.",elogio
"Apesar de ter sido resolvido, a solução para o problema demorou quase 1 hora. Anas o terceiro atendnte conseguiu resolv^-lo.",elogio
"A equipe de suporte Tic na RPBC  está de parabéns ,todo departamento ot/dp agradece o desempenho,carisma e dedicação.",elogio
"Os programas, embora instalados no computador, não estavam acessíveis a partir dos menus.  Problema resolvido.",neutro
Parabéns ao Atendente pelo bom atendimento!,elogio
ÓTIMO SERVIÇO EXECUTADO.,elogio
 GRATO PELA QUALIDADE NO ATENDIMENTO.,elogio
Equipe eficiente e eficaz!,elogio
Exelente Atendimento,elogio
Muito eficiente.,elogio
AGRADECIDO.,elogio
Muito bom o atendimento,elogio
Excelente atendimento,elogio
Atendimento excelente!,elogio
Foi resolvida parcial !! Aguardando ainda retorno do final da solicitação .,elogio
Atendimento muito bom,elogio
favor analisar,neutro
Resolvido de forma rápida e eficaz!,elogio
Bem atendido,elogio
Excelente atendimento,elogio
Resolvido de forma rápida e eficaz!,elogio
otimo atendimento.,elogio
